dg_id,driving_accuracy,driving_distance,sg_approach,sg_around_green,sg_off_the_tee,sg_putting,sg_total,last_updated
16497,-0.016,4.411,-0.249,-0.199,0.019,-0.235,-0.665,2025-05-05 17:26:31 UTC
1547,-0.02,-3.539,-0.163,-0.068,-0.165,-0.271,-0.667,2025-05-05 17:26:31 UTC
7655,0.055,-9.885,-0.054,-0.19,-0.197,-0.227,-0.668,2025-05-05 17:26:31 UTC
22089,0.003,-1.201,-0.14,-0.195,-0.121,-0.225,-0.682,2025-05-05 17:26:31 UTC
5994,0.111,-11.538,-0.004,-0.146,0.073,-0.608,-0.685,2025-05-05 17:26:31 UTC
13470,-0.003,-3.813,-0.148,0.076,-0.341,-0.277,-0.69,2025-05-05 17:26:31 UTC
25213,-0.026,-9.768,-0.137,0.117,-0.704,0.034,-0.691,2025-05-05 17:26:31 UTC
7489,0.078,-14.408,-0.039,-0.001,-0.286,-0.389,-0.715,2025-05-05 17:26:31 UTC
13139,-0.064,3.748,-0.479,0.009,-0.262,0.009,-0.722,2025-05-05 17:26:31 UTC
14373,0.038,-18.953,-0.378,-0.153,-0.593,0.399,-0.724,2025-05-05 17:26:31 UTC
11955,-0.054,4.561,-0.234,0.057,-0.145,-0.417,-0.738,2025-05-05 17:26:31 UTC
11396,0.063,-13.167,-0.276,-0.0,-0.256,-0.207,-0.739,2025-05-05 17:26:31 UTC
13127,-0.032,2.787,-0.59,-0.029,-0.175,0.052,-0.742,2025-05-05 17:26:31 UTC
16563,0.03,-5.544,-0.573,0.065,0.035,-0.271,-0.744,2025-05-05 17:26:31 UTC
9586,0.017,-9.877,-0.374,0.133,-0.473,-0.03,-0.744,2025-05-05 17:26:31 UTC
23416,-0.016,5.895,-0.619,-0.135,0.169,-0.168,-0.754,2025-05-05 17:26:31 UTC
6950,-0.018,-0.914,-0.219,-0.052,-0.076,-0.411,-0.757,2025-05-05 17:26:31 UTC
18174,0.002,-2.268,-0.261,-0.121,-0.101,-0.286,-0.769,2025-05-05 17:26:31 UTC
18514,-0.004,-5.41,-0.414,-0.148,-0.294,0.086,-0.77,2025-05-05 17:26:31 UTC
9531,0.005,-10.849,-0.077,0.106,-0.416,-0.385,-0.772,2025-05-05 17:26:31 UTC
29971,0.032,-0.077,-0.285,-0.317,0.156,-0.327,-0.773,2025-05-05 17:26:31 UTC
19635,-0.087,12.281,-0.459,-0.079,0.105,-0.344,-0.778,2025-05-05 17:26:31 UTC
12988,-0.023,-7.298,-0.317,-0.065,-0.489,0.093,-0.778,2025-05-05 17:26:31 UTC
8820,0.061,-18.199,-0.547,0.062,-0.547,0.248,-0.784,2025-05-05 17:26:31 UTC
30428,-0.04,8.397,-0.538,-0.238,0.174,-0.186,-0.789,2025-05-05 17:26:31 UTC
23549,-0.02,2.464,-0.336,-0.274,-0.041,-0.148,-0.798,2025-05-05 17:26:31 UTC
10873,-0.074,2.209,-0.179,-0.063,-0.432,-0.124,-0.798,2025-05-05 17:26:31 UTC
11763,0.013,-10.702,-0.39,0.08,-0.376,-0.115,-0.801,2025-05-05 17:26:31 UTC
23892,0.061,-3.706,-0.436,-0.374,0.297,-0.291,-0.805,2025-05-05 17:26:31 UTC
7548,0.04,-13.302,-0.129,-0.063,-0.338,-0.279,-0.809,2025-05-05 17:26:31 UTC
20780,0.0,-6.513,-0.401,0.042,-0.359,-0.092,-0.811,2025-05-05 17:26:31 UTC
13831,0.006,-13.151,-0.053,-0.003,-0.546,-0.209,-0.811,2025-05-05 17:26:31 UTC
9133,-0.022,-7.924,-0.297,-0.027,-0.437,-0.051,-0.812,2025-05-05 17:26:31 UTC
14140,-0.03,5.178,-0.529,-0.206,0.061,-0.148,-0.822,2025-05-05 17:26:31 UTC
25363,0.034,-0.772,-0.212,-0.359,0.171,-0.425,-0.824,2025-05-05 17:26:31 UTC
13089,0.024,-7.133,-0.228,-0.072,-0.17,-0.381,-0.85,2025-05-05 17:26:31 UTC
19948,-0.042,-3.719,-0.446,0.071,-0.573,0.094,-0.853,2025-05-05 17:26:31 UTC
18244,-0.026,5.378,-0.618,-0.291,0.23,-0.177,-0.857,2025-05-05 17:26:31 UTC
16475,-0.051,7.758,-0.462,-0.151,0.008,-0.252,-0.857,2025-05-05 17:26:31 UTC
19899,-0.036,2.285,-0.465,-0.167,-0.129,-0.102,-0.863,2025-05-05 17:26:31 UTC
1435,0.023,-12.895,-0.365,0.15,-0.427,-0.244,-0.886,2025-05-05 17:26:31 UTC
24127,0.014,-2.735,-0.483,0.004,-0.057,-0.359,-0.895,2025-05-05 17:26:31 UTC
7961,0.053,-15.165,-0.054,-0.107,-0.453,-0.287,-0.901,2025-05-05 17:26:31 UTC
18536,-0.057,3.605,-0.353,-0.203,-0.266,-0.092,-0.913,2025-05-05 17:26:31 UTC
15191,0.053,-3.772,-0.439,-0.312,0.186,-0.352,-0.917,2025-05-05 17:26:31 UTC
19224,-0.04,-0.954,-0.717,-0.094,-0.333,0.226,-0.917,2025-05-05 17:26:31 UTC
15596,-0.022,-5.747,-0.585,-0.059,-0.486,0.207,-0.923,2025-05-05 17:26:31 UTC
12317,0.058,-7.789,-0.447,-0.185,-0.014,-0.28,-0.924,2025-05-05 17:26:31 UTC
13367,0.028,-7.824,-0.232,-0.05,-0.238,-0.406,-0.926,2025-05-05 17:26:31 UTC
21880,-0.046,10.822,-0.286,-0.323,0.164,-0.485,-0.929,2025-05-05 17:26:31 UTC
29279,-0.049,2.372,-0.034,-0.197,-0.297,-0.402,-0.93,2025-05-05 17:26:31 UTC
14002,-0.073,0.304,-0.472,0.056,-0.606,0.086,-0.936,2025-05-05 17:26:31 UTC
19738,-0.062,15.818,-0.607,-0.262,0.317,-0.391,-0.944,2025-05-05 17:26:31 UTC
15852,0.041,-13.89,-0.213,-0.269,-0.526,0.055,-0.952,2025-05-05 17:26:31 UTC
12530,-0.021,-2.197,-0.352,-0.234,-0.338,-0.031,-0.955,2025-05-05 17:26:31 UTC
20353,0.009,-3.591,-0.14,-0.234,-0.114,-0.474,-0.962,2025-05-05 17:26:31 UTC
12426,-0.008,-0.907,-0.137,-0.239,-0.155,-0.439,-0.971,2025-05-05 17:26:31 UTC
15680,0.026,-14.696,-0.372,-0.202,-0.566,0.168,-0.973,2025-05-05 17:26:31 UTC
21412,-0.117,1.572,-0.526,0.077,-0.79,0.252,-0.987,2025-05-05 17:26:31 UTC
14784,-0.028,1.321,-0.549,-0.096,-0.165,-0.185,-0.994,2025-05-05 17:26:31 UTC
28276,-0.038,7.173,-0.125,-0.474,0.154,-0.557,-1.001,2025-05-05 17:26:31 UTC
13305,-0.032,-0.643,-0.344,-0.117,-0.292,-0.253,-1.005,2025-05-05 17:26:31 UTC
25442,-0.096,-4.295,-0.69,0.152,-0.943,0.472,-1.008,2025-05-05 17:26:31 UTC
17081,0.021,-7.815,-0.261,-0.394,-0.391,0.028,-1.017,2025-05-05 17:26:31 UTC
16549,-0.052,-1.201,-0.624,0.005,-0.579,0.142,-1.057,2025-05-05 17:26:31 UTC
22231,-0.031,0.394,-0.52,-0.178,-0.237,-0.129,-1.064,2025-05-05 17:26:31 UTC
27597,-0.033,1.673,-0.759,-0.099,-0.2,-0.007,-1.065,2025-05-05 17:26:31 UTC
24093,-0.045,6.536,-0.692,-0.192,-0.017,-0.178,-1.08,2025-05-05 17:26:31 UTC
5716,-0.015,-2.276,-0.251,-0.076,-0.238,-0.521,-1.086,2025-05-05 17:26:31 UTC
27598,-0.066,3.443,-0.444,-0.163,-0.257,-0.231,-1.095,2025-05-05 17:26:31 UTC
27588,-0.051,8.501,-0.547,-0.39,-0.039,-0.121,-1.097,2025-05-05 17:26:31 UTC
25771,-0.061,5.675,-0.568,-0.115,-0.287,-0.132,-1.101,2025-05-05 17:26:31 UTC
9252,0.06,-9.776,-0.367,-0.18,-0.239,-0.322,-1.107,2025-05-05 17:26:31 UTC
13374,0.025,-11.702,-0.513,-0.067,-0.342,-0.196,-1.117,2025-05-05 17:26:31 UTC
20519,-0.077,3.768,-0.188,-0.162,-0.365,-0.403,-1.12,2025-05-05 17:26:31 UTC
7899,0.027,-8.821,-0.347,-0.143,-0.256,-0.39,-1.136,2025-05-05 17:26:31 UTC
7679,0.074,-24.851,-0.302,-0.141,-0.768,0.071,-1.139,2025-05-05 17:26:31 UTC
25888,0.038,-11.66,-0.558,-0.245,-0.279,-0.07,-1.151,2025-05-05 17:26:31 UTC
20190,-0.061,1.955,-0.425,-0.147,-0.366,-0.22,-1.158,2025-05-05 17:26:31 UTC
25588,0.006,-2.983,-0.473,-0.225,-0.226,-0.252,-1.177,2025-05-05 17:26:31 UTC
12909,-0.057,2.715,-0.497,-0.166,-0.348,-0.169,-1.179,2025-05-05 17:26:31 UTC
5754,0.068,-16.239,-0.581,-0.157,-0.19,-0.257,-1.186,2025-05-05 17:26:31 UTC
15113,0.059,-19.9,-0.339,-0.151,-0.654,-0.043,-1.187,2025-05-05 17:26:31 UTC
15473,0.017,-14.195,-0.504,0.061,-0.677,-0.083,-1.202,2025-05-05 17:26:31 UTC
18579,0.019,-14.654,-0.519,0.062,-0.586,-0.171,-1.214,2025-05-05 17:26:31 UTC
28270,-0.122,-1.002,-0.228,0.045,-1.333,0.296,-1.219,2025-05-05 17:26:31 UTC
26213,-0.044,-1.209,-0.662,-0.069,-0.373,-0.118,-1.222,2025-05-05 17:26:31 UTC
9171,-0.043,-11.749,-0.28,0.051,-0.853,-0.143,-1.225,2025-05-05 17:26:31 UTC
26562,0.006,-3.422,-0.833,-0.145,-0.171,-0.077,-1.226,2025-05-05 17:26:31 UTC
11374,0.0,-3.699,-0.673,-0.217,-0.254,-0.086,-1.229,2025-05-05 17:26:31 UTC
26008,-0.028,1.273,-0.538,-0.336,-0.062,-0.3,-1.236,2025-05-05 17:26:31 UTC
23236,-0.045,-1.884,-0.668,-0.261,-0.456,0.148,-1.237,2025-05-05 17:26:31 UTC
14050,0.006,-11.223,-0.41,-0.092,-0.639,-0.102,-1.242,2025-05-05 17:26:31 UTC
19364,-0.036,-0.693,-0.749,-0.055,-0.331,-0.118,-1.253,2025-05-05 17:26:31 UTC
19208,0.011,-8.412,-0.537,-0.074,-0.462,-0.19,-1.263,2025-05-05 17:26:31 UTC
9675,-0.028,-2.388,-0.592,-0.105,-0.343,-0.248,-1.288,2025-05-05 17:26:31 UTC
17266,-0.055,6.618,-0.659,-0.149,-0.156,-0.329,-1.292,2025-05-05 17:26:31 UTC
23112,-0.013,-0.644,-0.741,-0.138,-0.168,-0.264,-1.312,2025-05-05 17:26:31 UTC
8117,-0.017,-11.283,-0.23,-0.224,-0.718,-0.149,-1.322,2025-05-05 17:26:31 UTC
17718,-0.025,-0.99,-0.61,0.048,-0.32,-0.47,-1.352,2025-05-05 17:26:31 UTC
17068,-0.059,8.054,-0.697,-0.275,-0.084,-0.296,-1.352,2025-05-05 17:26:31 UTC
10033,0.037,-24.723,-0.515,-0.105,-0.906,0.171,-1.355,2025-05-05 17:26:31 UTC
14967,-0.033,0.299,-0.634,-0.355,-0.336,-0.031,-1.356,2025-05-05 17:26:31 UTC
6762,0.033,-17.739,-0.592,0.039,-0.822,-0.014,-1.389,2025-05-05 17:26:31 UTC
19455,-0.074,4.489,-0.582,-0.187,-0.57,-0.076,-1.414,2025-05-05 17:26:31 UTC
7955,-0.075,-0.393,-0.349,-0.222,-0.585,-0.27,-1.427,2025-05-05 17:26:31 UTC
13821,-0.032,-6.181,-0.411,-0.252,-0.473,-0.299,-1.436,2025-05-05 17:26:31 UTC
14973,-0.004,-5.068,-0.897,-0.195,-0.338,-0.04,-1.47,2025-05-05 17:26:31 UTC
4052,-0.019,-7.521,-0.497,-0.051,-0.428,-0.507,-1.484,2025-05-05 17:26:31 UTC
15592,0.088,-9.158,-0.656,-0.313,0.024,-0.548,-1.492,2025-05-05 17:26:31 UTC
11826,-0.013,-9.002,-0.349,-0.224,-0.718,-0.21,-1.5,2025-05-05 17:26:31 UTC
16421,-0.026,-2.424,-1.152,-0.135,-0.24,0.027,-1.501,2025-05-05 17:26:31 UTC
6252,-0.045,-16.156,-0.528,0.308,-1.266,-0.023,-1.509,2025-05-05 17:26:31 UTC
19806,-0.018,-4.44,-0.499,-0.234,-0.343,-0.438,-1.515,2025-05-05 17:26:31 UTC
27870,-0.068,4.347,-0.49,-0.264,-0.469,-0.293,-1.515,2025-05-05 17:26:31 UTC
13530,0.057,-13.174,-0.7,-0.202,-0.245,-0.385,-1.533,2025-05-05 17:26:31 UTC
25138,-0.049,-0.915,-0.918,-0.011,-0.383,-0.224,-1.535,2025-05-05 17:26:31 UTC
29348,-0.085,5.22,-0.518,-0.365,-0.412,-0.246,-1.54,2025-05-05 17:26:31 UTC
14926,-0.095,-3.09,-0.652,0.192,-0.862,-0.266,-1.588,2025-05-05 17:26:31 UTC
12258,-0.05,-1.625,-0.667,-0.201,-0.48,-0.248,-1.596,2025-05-05 17:26:31 UTC
10886,-0.057,-8.191,-0.647,-0.13,-0.936,0.116,-1.597,2025-05-05 17:26:31 UTC
11328,0.021,-15.081,-0.762,-0.039,-0.665,-0.163,-1.629,2025-05-05 17:26:31 UTC
24657,-0.006,-6.605,-0.703,-0.347,-0.446,-0.135,-1.631,2025-05-05 17:26:31 UTC
27554,-0.078,8.098,-0.871,-0.34,-0.237,-0.207,-1.654,2025-05-05 17:26:31 UTC
13344,0.008,-9.04,-0.367,-0.269,-0.419,-0.624,-1.679,2025-05-05 17:26:31 UTC
7887,-0.056,0.765,-0.681,-0.283,-0.36,-0.367,-1.69,2025-05-05 17:26:31 UTC
7457,-0.008,-8.482,-0.972,-0.165,-0.465,-0.107,-1.709,2025-05-05 17:26:31 UTC
8182,-0.025,-4.151,-1.358,-0.015,-0.23,-0.113,-1.717,2025-05-05 17:26:31 UTC
24052,-0.033,-6.258,-0.593,-0.258,-0.613,-0.254,-1.718,2025-05-05 17:26:31 UTC
12650,-0.002,-12.555,-0.793,-0.234,-0.748,0.039,-1.735,2025-05-05 17:26:31 UTC
8045,-0.025,-0.877,-0.789,-0.25,-0.347,-0.35,-1.736,2025-05-05 17:26:31 UTC
20846,-0.009,-7.1,-0.806,-0.241,-0.476,-0.241,-1.764,2025-05-05 17:26:31 UTC
19637,-0.015,-4.958,-0.849,-0.211,-0.484,-0.221,-1.765,2025-05-05 17:26:31 UTC
6893,-0.055,2.809,-0.773,-0.179,-0.283,-0.532,-1.767,2025-05-05 17:26:31 UTC
20084,-0.082,15.9,-1.217,-0.258,-0.042,-0.258,-1.774,2025-05-05 17:26:31 UTC
23781,-0.059,-0.83,-1.056,-0.178,-0.626,0.077,-1.783,2025-05-05 17:26:31 UTC
7301,0.0,-9.806,-0.536,-0.141,-0.523,-0.585,-1.785,2025-05-05 17:26:31 UTC
12425,0.017,-20.365,-1.253,0.207,-1.112,0.362,-1.795,2025-05-05 17:26:31 UTC
9396,-0.041,4.424,-0.552,-0.468,-0.244,-0.539,-1.803,2025-05-05 17:26:31 UTC
6149,0.069,-28.223,-0.433,-0.101,-0.976,-0.294,-1.804,2025-05-05 17:26:31 UTC
4163,-0.013,-20.094,-0.683,0.15,-1.296,0.005,-1.824,2025-05-05 17:26:31 UTC
20704,0.055,-23.71,-0.414,-0.056,-0.858,-0.501,-1.829,2025-05-05 17:26:31 UTC
12821,-0.113,5.818,-0.882,-0.065,-0.672,-0.247,-1.867,2025-05-05 17:26:31 UTC
7293,-0.075,0.996,-0.698,-0.15,-0.634,-0.418,-1.9,2025-05-05 17:26:31 UTC
12318,-0.067,2.067,-1.288,-0.298,-0.356,0.04,-1.902,2025-05-05 17:26:31 UTC
16897,-0.066,3.889,-0.928,-0.209,-0.668,-0.104,-1.909,2025-05-05 17:26:31 UTC
15164,-0.041,1.208,-0.696,-0.238,-0.379,-0.609,-1.922,2025-05-05 17:26:31 UTC
24660,-0.055,-14.815,-0.298,-0.323,-1.346,0.039,-1.929,2025-05-05 17:26:31 UTC
14120,-0.043,-4.608,-0.64,-0.21,-0.77,-0.313,-1.933,2025-05-05 17:26:31 UTC
16409,-0.081,8.698,-0.917,-0.222,-0.3,-0.51,-1.949,2025-05-05 17:26:31 UTC
23163,-0.029,-0.908,-0.764,-0.412,-0.449,-0.33,-1.954,2025-05-05 17:26:31 UTC
16400,-0.018,2.808,-1.04,-0.514,-0.154,-0.266,-1.974,2025-05-05 17:26:31 UTC
10423,-0.075,8.344,-0.835,-0.464,-0.232,-0.454,-1.985,2025-05-05 17:26:31 UTC
7820,-0.01,-6.772,-0.919,-0.176,-0.376,-0.536,-2.007,2025-05-05 17:26:31 UTC
14409,-0.027,-8.044,-0.922,-0.313,-0.678,-0.131,-2.043,2025-05-05 17:26:31 UTC
17508,-0.03,-2.483,-0.892,-0.199,-0.46,-0.529,-2.08,2025-05-05 17:26:31 UTC
16566,-0.048,8.282,-1.081,-0.611,-0.145,-0.252,-2.089,2025-05-05 17:26:31 UTC
13731,-0.046,-1.444,-0.958,-0.304,-0.445,-0.455,-2.162,2025-05-05 17:26:31 UTC
13281,-0.014,-12.771,-1.133,-0.007,-0.819,-0.222,-2.18,2025-05-05 17:26:31 UTC
11061,0.052,-20.159,-1.139,-0.103,-0.774,-0.173,-2.189,2025-05-05 17:26:31 UTC
23016,-0.073,0.646,-1.108,-0.093,-0.626,-0.371,-2.199,2025-05-05 17:26:31 UTC
16363,-0.052,-14.072,-0.853,-0.038,-1.357,0.044,-2.205,2025-05-05 17:26:31 UTC
8300,-0.071,-5.239,-1.246,-0.069,-0.924,-0.05,-2.288,2025-05-05 17:26:31 UTC
12819,-0.079,8.128,-1.042,-0.224,-0.388,-0.667,-2.321,2025-05-05 17:26:31 UTC
15016,-0.037,-10.796,-0.817,-0.079,-1.24,-0.189,-2.324,2025-05-05 17:26:31 UTC
5647,-0.044,-7.47,-1.259,-0.291,-0.789,-0.258,-2.598,2025-05-05 17:26:31 UTC
15634,-0.1,-1.889,-1.387,-0.098,-1.141,0.025,-2.6,2025-05-05 17:26:31 UTC
18241,-0.134,-8.307,-1.048,-0.045,-1.597,-0.014,-2.703,2025-05-05 17:26:31 UTC
11641,-0.108,-6.357,-1.071,-0.155,-1.148,-0.357,-2.731,2025-05-05 17:26:31 UTC
7881,-0.057,-10.159,-1.253,-0.236,-0.999,-0.272,-2.759,2025-05-05 17:26:31 UTC
14706,-0.096,-3.935,-1.2,-0.623,-1.43,-0.299,-3.551,2025-05-05 17:26:31 UTC
7567,-0.049,-7.68,-1.778,-0.527,-1.092,-0.31,-3.707,2025-05-05 17:26:31 UTC
