gameID,second,team_6,team_8
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",15,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",16,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",17,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",18,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",19,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",20,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",21,"8475745,8478498,8476999,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8474884,8477476,8477989,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",22,"8475745,8478498,8477508,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8477989,8477476,8476967,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",23,"8475745,8478498,8477508,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8477989,8477476,8476967,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",24,"8475745,8478498,8477508,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8477989,8477476,8476967,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",25,"8475745,8478498,8477508,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8477989,8477476,8476967,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",26,"8475745,8478498,8477508,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475287,8475225,8476891,8479325","8475233,8473507,8474596,8477989,8477476,8476967,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",27,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",28,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",29,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",30,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",31,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",32,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",33,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",34,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",35,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",36,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",37,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",38,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",39,"8475745,8478498,8477508,8477956,8476422,8476999,8477320,8477931,8478443,8475791,8475287,8475225,8476891","8475233,8473507,8474596,8477989,8474884,8476967,8477476,8478470,8475279,8476975,8480018,8476469,8477494"
