season,gameId,seriesLetter,seriesLogo,neededToWin,length,awayTeamScore,homeTeamScore,gameCenterLink,seriesStatusTopSeedWins,seriesStatusBottomSeedWins,fullCoverageURL,lastPeriodType
20242025,2024030161,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5.0,1.0,/gamecenter/col-vs-dal/2025/04/19/2024030161,0.0,1.0,,REG
20242025,2024030162,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3.0,4.0,/gamecenter/col-vs-dal/2025/04/21/2024030162,1.0,1.0,,OT
20242025,2024030163,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,1.0,/gamecenter/dal-vs-col/2025/04/23/2024030163,2.0,1.0,,OT
20242025,2024030164,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,0.0,4.0,/gamecenter/dal-vs-col/2025/04/26/2024030164,2.0,2.0,,REG
20242025,2024030165,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,6.0,/gamecenter/col-vs-dal/2025/04/28/2024030165,3.0,2.0,,REG
20242025,2024030166,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,7.0,/gamecenter/dal-vs-col/2025/05/01/2024030166,3.0,3.0,,REG
20242025,2024030167,F,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,4.0,/gamecenter/col-vs-dal/2025/05/03/2024030167,4.0,3.0,,REG
20242025,2024030171,G,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,4.0,/gamecenter/min-vs-vgk/2025/04/20/2024030171,1.0,0.0,,REG
20242025,2024030172,G,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5.0,2.0,/gamecenter/min-vs-vgk/2025/04/22/2024030172,1.0,1.0,,REG
20242025,2024030173,G,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,5.0,/gamecenter/vgk-vs-min/2025/04/24/2024030173,1.0,2.0,,REG
20242025,2024030174,G,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,3.0,/gamecenter/vgk-vs-min/2025/04/26/2024030174,2.0,2.0,,OT
20242025,2024030175,G,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,3.0,/gamecenter/min-vs-vgk/2025/04/29/2024030175,3.0,2.0,,OT
20242025,2024030176,G,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3.0,2.0,/gamecenter/vgk-vs-min/2025/05/01/2024030176,4.0,2.0,,REG
20242025,2024030181,H,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5.0,6.0,/gamecenter/edm-vs-lak/2025/04/21/2024030181,1.0,0.0,,REG
20242025,2024030182,H,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,6.0,/gamecenter/edm-vs-lak/2025/04/23/2024030182,2.0,0.0,,REG
20242025,2024030183,H,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,7.0,/gamecenter/lak-vs-edm/2025/04/25/2024030183,2.0,1.0,,REG
20242025,2024030184,H,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3.0,4.0,/gamecenter/lak-vs-edm/2025/04/27/2024030184,2.0,2.0,,OT
20242025,2024030185,H,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3.0,1.0,/gamecenter/edm-vs-lak/2025/04/29/2024030185,2.0,3.0,,REG
20242025,2024030186,H,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,6.0,/gamecenter/lak-vs-edm/2025/05/01/2024030186,2.0,4.0,,REG
20242025,2024030211,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,5.0,/gamecenter/fla-vs-tor/2025/05/05/2024030211,1.0,0.0,,REG
20242025,2024030212,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3.0,4.0,/gamecenter/fla-vs-tor/2025/05/07/2024030212,2.0,0.0,,REG
20242025,2024030213,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,5.0,/gamecenter/tor-vs-fla/2025/05/09/2024030213,2.0,1.0,,OT
20242025,2024030214,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,0.0,2.0,/gamecenter/tor-vs-fla/2025/05/11/2024030214,2.0,2.0,,REG
20242025,2024030215,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/fla-vs-tor/2025/05/14/2024030215,,,,
20242025,2024030216,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/tor-vs-fla/2025/05/16/2024030216,,,,
20242025,2024030217,I,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/fla-vs-tor/2025/05/18/2024030217,,,,
20242025,2024030221,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,1.0,/gamecenter/car-vs-wsh/2025/05/06/2024030221,0.0,1.0,,OT
20242025,2024030222,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,1.0,3.0,/gamecenter/car-vs-wsh/2025/05/08/2024030222,1.0,1.0,,REG
20242025,2024030223,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,0.0,4.0,/gamecenter/wsh-vs-car/2025/05/10/2024030223,1.0,2.0,,REG
20242025,2024030224,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,5.0,/gamecenter/wsh-vs-car/2025/05/12/2024030224,1.0,3.0,,REG
20242025,2024030225,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/car-vs-wsh/2025/05/15/2024030225,,,,
20242025,2024030226,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/wsh-vs-car/2025/05/17/2024030226,,,,
