season,roundNums,seriesLetter,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins,seasons,bracketLogos,topSeedRanks,topSeedRankAbbrevs,bottomSeedRanks,bottomSeedRankAbbrevs,winningTeamIds,losingTeamIds,gameId,seriesLogo,neededToWin,length,awayTeamScore,homeTeamScore,gameCenterLink,seriesStatusTopSeedWins,seriesStatusBottomSeedWins,fullCoverageURL,lastPeriodType
20242025,1,C,/schedule/playoff-series/2025/series-c/canadiens-vs-capitals,,,,,,,,,,,,,2024030134,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5,2,/gamecenter/wsh-vs-mtl/2025/04/27/2024030134,3,1,,REG
20242025,1,C,/schedule/playoff-series/2025/series-c/canadiens-vs-capitals,,,,,,,,,,,,,2024030135,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/mtl-vs-wsh/2025/04/30/2024030135,,,,
20242025,1,C,/schedule/playoff-series/2025/series-c/canadiens-vs-capitals,,,,,,,,,,,,,2024030136,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/wsh-vs-mtl/2025/05/02/2024030136,,,,
20242025,1,C,/schedule/playoff-series/2025/series-c/canadiens-vs-capitals,,,,,,,,,,,,,2024030137,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/mtl-vs-wsh/2025/05/04/2024030137,,,,
20242025,1,D,/schedule/playoff-series/2025/series-d/devils-vs-hurricanes,,,,,,,,,,,,,2024030141,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,1,4,/gamecenter/njd-vs-car/2025/04/20/2024030141,1,0,,REG
20242025,1,D,/schedule/playoff-series/2025/series-d/devils-vs-hurricanes,,,,,,,,,,,,,2024030142,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,1,3,/gamecenter/njd-vs-car/2025/04/22/2024030142,2,0,,REG
20242025,1,D,/schedule/playoff-series/2025/series-d/devils-vs-hurricanes,,,,,,,,,,,,,2024030143,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,3,/gamecenter/car-vs-njd/2025/04/25/2024030143,2,1,,OT
20242025,1,D,/schedule/playoff-series/2025/series-d/devils-vs-hurricanes,,,,,,,,,,,,,2024030144,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5,2,/gamecenter/car-vs-njd/2025/04/27/2024030144,3,1,,REG
20242025,1,D,/schedule/playoff-series/2025/series-d/devils-vs-hurricanes,,,,,,,,,,,,,2024030145,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4,5,/gamecenter/njd-vs-car/2025/04/29/2024030145,4,1,,OT
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030151,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3,5,/gamecenter/stl-vs-wpg/2025/04/19/2024030151,1,0,,REG
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030152,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,1,2,/gamecenter/stl-vs-wpg/2025/04/21/2024030152,2,0,,REG
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030153,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,7,/gamecenter/wpg-vs-stl/2025/04/24/2024030153,2,1,,REG
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030154,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,1,5,/gamecenter/wpg-vs-stl/2025/04/27/2024030154,2,2,,REG
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030155,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/stl-vs-wpg/2025/04/30/2024030155,,,,
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030156,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/wpg-vs-stl/2025/05/02/2024030156,,,,
20242025,1,E,/schedule/playoff-series/2025/series-e/blues-vs-jets,,,,,,,,,,,,,2024030157,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/stl-vs-wpg/2025/05/04/2024030157,,,,
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030161,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5,1,/gamecenter/col-vs-dal/2025/04/19/2024030161,0,1,,REG
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030162,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3,4,/gamecenter/col-vs-dal/2025/04/21/2024030162,1,1,,OT
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030163,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,1,/gamecenter/dal-vs-col/2025/04/23/2024030163,2,1,,OT
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030164,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,0,4,/gamecenter/dal-vs-col/2025/04/26/2024030164,2,2,,REG
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030165,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,6,/gamecenter/col-vs-dal/2025/04/28/2024030165,3,2,,REG
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030166,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/dal-vs-col/2025/05/01/2024030166,,,,
20242025,1,F,/schedule/playoff-series/2025/series-f/avalanche-vs-stars,,,,,,,,,,,,,2024030167,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/col-vs-dal/2025/05/03/2024030167,,,,
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030171,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,4,/gamecenter/min-vs-vgk/2025/04/20/2024030171,1,0,,REG
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030172,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5,2,/gamecenter/min-vs-vgk/2025/04/22/2024030172,1,1,,REG
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030173,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,5,/gamecenter/vgk-vs-min/2025/04/24/2024030173,1,2,,REG
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030174,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4,3,/gamecenter/vgk-vs-min/2025/04/26/2024030174,2,2,,OT
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030175,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,3,/gamecenter/min-vs-vgk/2025/04/29/2024030175,3,2,,OT
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030176,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/vgk-vs-min/2025/05/01/2024030176,,,,
20242025,1,G,/schedule/playoff-series/2025/series-g/wild-vs-goldenknights,,,,,,,,,,,,,2024030177,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/min-vs-vgk/2025/05/03/2024030177,,,,
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030181,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5,6,/gamecenter/edm-vs-lak/2025/04/21/2024030181,1,0,,REG
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030182,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2,6,/gamecenter/edm-vs-lak/2025/04/23/2024030182,2,0,,REG
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030183,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4,7,/gamecenter/lak-vs-edm/2025/04/25/2024030183,2,1,,REG
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030184,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3,4,/gamecenter/lak-vs-edm/2025/04/27/2024030184,2,2,,OT
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030185,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3,1,/gamecenter/edm-vs-lak/2025/04/29/2024030185,2,3,,REG
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030186,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/lak-vs-edm/2025/05/01/2024030186,,,,
20242025,1,H,/schedule/playoff-series/2025/series-h/oilers-vs-kings,,,,,,,,,,,,,2024030187,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/edm-vs-lak/2025/05/03/2024030187,,,,
