gameID,playerId,sweaterNumber,position,pim,toi,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,goalsAgainst,starter,shotsAgainst,saves
2003020512,8458075,30,G,4.0,61:23,21/23,3/3,2/3,26/29,0.896552,2.0,0.0,1.0,3.0,True,29.0,26.0
2003020512,8468481,39,G,,,,,,,,,,,,False,,
2003020512,8455710,30,G,0.0,61:25,18/20,1/3,1/1,20/24,0.833333,2.0,2.0,0.0,4.0,True,24.0,20.0
2003020512,8457969,35,G,,,,,,,,,,,,False,,
2003020513,8459140,35,G,0.0,59:28,15/17,4/4,2/2,21/23,0.913043,2.0,0.0,0.0,2.0,True,23.0,21.0
2003020513,8460715,47,G,,,,,,,,,,,,False,,
2003020513,8469636,31,G,0.0,60:00,28/29,3/3,3/3,34/35,0.971429,1.0,0.0,0.0,1.0,True,35.0,34.0
2003020513,8455994,34,G,,,,,,,,,,,,False,,
2003020514,8460806,30,G,0.0,65:00,36/38,0/0,2/2,38/40,0.95,2.0,0.0,0.0,2.0,True,40.0,38.0
2003020514,8458988,35,G,,,,,,,,,,,,False,,
2003020514,8448382,31,G,0.0,64:39,18/20,2/2,2/2,22/24,0.916667,2.0,0.0,0.0,2.0,True,24.0,22.0
2003020514,8459308,34,G,,,,,,,,,,,,False,,
2003020515,8460497,1,G,,,,,,,,,,,,False,,
2003020515,8459463,80,G,0.0,59:12,27/28,3/4,0/0,30/32,0.9375,1.0,1.0,0.0,2.0,True,32.0,30.0
2003020515,8466156,35,G,0.0,60:00,29/30,1/1,0/0,30/31,0.967742,1.0,0.0,0.0,1.0,True,31.0,30.0
2003020515,8462047,43,G,,,,,,,,,,,,False,,
2003020516,8466290,1,G,0.0,65:00,19/21,7/8,1/1,27/30,0.9,2.0,1.0,0.0,3.0,True,30.0,27.0
2003020516,8467364,30,G,,,,,,,,,,,,False,,
2003020516,8458568,30,G,2.0,64:41,18/20,4/5,0/0,22/25,0.88,2.0,1.0,0.0,3.0,True,25.0,22.0
2003020516,8462161,35,G,,,,,,,,,,,,False,,
2003020517,8462055,30,G,,,,,,,,,,,,False,,
2003020517,8459252,40,G,0.0,60:00,28/29,2/2,0/0,30/31,0.967742,1.0,0.0,0.0,1.0,True,31.0,30.0
2003020517,8459132,29,G,,,,,,,,,,,,False,,
2003020517,8468038,49,G,0.0,59:49,26/29,3/3,0/0,29/32,0.90625,3.0,0.0,0.0,3.0,True,32.0,29.0
2003020518,8460712,29,G,0.0,59:23,13/14,2/3,0/0,15/17,0.882353,1.0,1.0,0.0,2.0,True,17.0,15.0
2003020518,8462152,30,G,,,,,,,,,,,,False,,
2003020518,8451837,31,G,,,,,,,,,,,,False,,
2003020518,8460612,35,G,0.0,60:00,18/19,5/5,0/0,23/24,0.958333,1.0,0.0,0.0,1.0,True,24.0,23.0
2003020519,8467913,35,G,,,,,,,,,,,,False,,
2003020519,8460516,39,G,0.0,60:00,25/25,4/4,2/2,31/31,1.0,0.0,0.0,0.0,0.0,True,31.0,31.0
2003020519,8458562,29,G,,,,,,,,,,,,False,,
2003020519,8462147,34,G,0.0,59:44,22/23,7/8,0/0,29/31,0.935484,1.0,1.0,0.0,2.0,True,31.0,29.0
2003020520,8458584,1,G,0.0,19:47,5/5,0/1,1/1,6/7,0.857143,0.0,1.0,0.0,1.0,False,7.0,6.0
2003020520,8469658,35,G,0.0,40:00,10/14,2/2,3/3,15/19,0.789474,4.0,0.0,0.0,4.0,True,19.0,15.0
2003020520,8460705,20,G,0.0,60:00,18/18,7/7,0/0,25/25,1.0,0.0,0.0,0.0,0.0,True,25.0,25.0
