teamID,playerID,headshotURLs,firstName,lastName,positionCode,latestGamesPlayed,latestGoals,latestAssists,latestPoints,latestPlusMinus,latestShots,latestShootingPct,latestAvgTOI,latestAvgShifts,latestFOWinPct,latestGS,latestWins,latestLosses,latestTies,latestOTLosses,latestGAA,latestSavePct,latestSA,latestSaves,latestGA,latestSO,latestTOI
32,8451875,https://assets.nhle.com/mugs/nhl/19791980/QUE/8451875.png,Gregory,Tebbutt,D,40,2,6,8,5,32,0.0625,816.9,19.5,0.0,,,,,,,,,,,,
32,8451897,https://assets.nhle.com/mugs/nhl/19791980/QUE/8451897.png,Reginald,Thomas,C,81,10,18,28,1,80,0.125,835.9136,19.9012,0.490226,,,,,,,,,,,,
32,8452367,https://assets.nhle.com/mugs/nhl/19791980/QUE/8452367.png,Wally,Weir,R,82,7,31,38,11,94,0.074468,1361.8293,28.378,0.0,,,,,,,,,,,,
32,8446429,https://assets.nhle.com/mugs/nhl/19791980/QUE/8446429.png,Michel,Dion,G,3,0,0,0,-2,3,0.0,1060.0,22.6667,0.0,,,,,,,,,,,,
32,8447945,https://assets.nhle.com/mugs/nhl/19791980/QUE/8447945.png,Goran,Hogosta,G,74,15,24,39,-18,123,0.121951,891.7973,19.6622,0.142857,,,,,,,,,,,,
32,8448891,https://assets.nhle.com/mugs/nhl/19791980/QUE/8448891.png,Ron,Low,G,77,27,41,68,-1,173,0.156069,1091.039,22.0909,0.166667,,,,,,,,,,,,
8,8475233,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475233.png,David,Savard,D,2,0,0,0,-3,1,0.0,425.5,12.5,0.285714,,,,,,,,,,,,
8,8475848,https://assets.nhle.com/mugs/nhl/20242025/MTL/8475848.png,Brendan,Gallagher,R,79,7,33,40,-13,139,0.05036,1278.7089,26.5823,0.0,,,,,,,,,,,,
8,8476469,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476469.png,Joel,Armia,R,8,0,1,1,-3,8,0.0,578.375,15.125,0.0,,,,,,,,,,,,
8,8476875,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476875.png,Mike,Matheson,D,21,3,2,5,-2,11,0.272727,629.381,16.6667,0.462069,,,,,,,,,,,,
8,8476981,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476981.png,Josh,Anderson,R,62,15,9,24,-4,134,0.11194,887.5645,20.8226,0.455197,,,,,,,,,,,,
8,8477989,https://assets.nhle.com/mugs/nhl/20242025/MTL/8477989.png,Christian,Dvorak,C,8,0,0,0,-6,4,0.0,632.5,14.625,0.363636,,,,,,,,,,,,
8,8478133,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478133.png,Jake,Evans,C,75,10,18,28,-2,120,0.083333,889.1067,20.12,0.190476,,,,,,,,,,,,
