Game ID,Team ID,Player ID,Number,Position
2024021225,13,8473419,63,L
2024021225,17,8473507,46,D
2024021225,17,8474141,88,R
2024021225,17,8475225,15,C
2024021225,17,8475279,8,D
2024021225,17,8475660,39,G
2024021225,13,8475683,72,G
2024021225,17,8475718,3,D
2024021225,17,8475765,11,R
2024021225,13,8477034,6,D
2024021225,13,8477220,88,D
2024021225,17,8477353,14,C
2024021225,13,8477409,23,C
2024021225,17,8477456,37,L
2024021225,13,8477495,3,D
2024021225,13,8477931,92,L
2024021225,17,8477946,71,C
2024021225,13,8477970,41,G
2024021225,13,8478421,10,L
2024021225,13,8478542,17,C
2024021225,13,8478859,77,D
2024021225,17,8479312,34,G
2024021225,13,8479335,74,C
2024021225,17,8479337,93,R
2024021225,13,8479344,20,R
2024021225,13,8479981,12,L
2024021225,17,8479992,27,C
2024021225,13,8480003,70,C
2024021225,13,8480185,27,C
2024021225,17,8481013,48,R
2024021225,17,8481542,53,D
2024021225,17,8481607,20,D
2024021225,17,8481725,85,L
2024021225,17,8482078,23,L
2024021225,13,8482113,15,C
2024021225,13,8482641,4,D
2024021225,13,8482713,25,R
2024021225,17,8482762,77,D
2024021225,17,8483464,92,C
2024021225,13,8484304,26,D
2024021226,7,8473503,47,G
2024021226,7,8475722,17,L
2024021226,6,8476914,70,G
2024021226,7,8477365,75,D
2024021226,6,8477496,28,C
2024021226,6,8477507,91,D
2024021226,7,8477949,89,R
2024021226,6,8477956,88,R
2024021226,7,8478043,81,C
2024021226,6,8478401,18,C
2024021226,6,8478450,29,D
2024021226,7,8479359,29,L
2024021226,6,8479369,52,D
2024021226,7,8479420,72,C
2024021226,6,8479968,95,C
2024021226,6,8479987,39,C
2024021226,6,8479999,11,C
2024021226,6,8480035,20,D
2024021226,7,8480045,1,G
2024021226,6,8480280,1,G
2024021226,7,8480802,71,C
2024021226,7,8480807,23,D
2024021226,6,8480828,79,D
2024021226,7,8480839,26,D
2024021226,7,8480879,24,D
2024021226,6,8480880,94,C
2024021226,6,8481043,45,L
2024021226,7,8481522,19,C
2024021226,7,8481524,4,D
