Date,Team,Player,Transaction Details
"Feb 28, 2025",Boston Bruins,Jeffrey Viel,Recalled from AHL
"Feb 28, 2025",Boston Bruins,Oliver Wahlstrom,Assigned to AHL
"Feb 28, 2025",Boston Bruins,Oliver Wahlstrom,Cleared Waivers
"Feb 28, 2025",Toronto Maple Leafs,Marshall Rifai,Recalled from AHL
"Feb 28, 2025",Columbus Blue Jackets,Mikael Pyyhtia,Recalled from AHL
"Feb 27, 2025",New York Islanders,Noah Dobson,Activated from LTIR
"Feb 27, 2025",San Jose Sharks,Klim Kostin,Activated from IR
"Feb 27, 2025",Boston Bruins,Trent Frederic,Placed on IR
"Feb 27, 2025",Chicago Blackhawks,Nolan Allan,Assigned to AHL
"Feb 27, 2025",Chicago Blackhawks,Wyatt Kaiser,Recalled from AHL
"Feb 27, 2025",Chicago Blackhawks,Andreas Athanasiou,Recalled from AHL
"Feb 27, 2025",Seattle Kraken,Ben Meyers,Recalled from AHL
"Feb 27, 2025",Pittsburgh Penguins,Michael Bunting,Placed on IR
"Feb 27, 2025",Pittsburgh Penguins,Bokondji Imama,Activated from IR
"Feb 27, 2025",Pittsburgh Penguins,Matt Nieto,Assigned to AHL
"Feb 27, 2025",Pittsburgh Penguins,Emil Bemstrom,Recalled from AHL
"Feb 27, 2025",Anaheim Ducks,Sam Colangelo,Recalled from AHL
"Feb 27, 2025",Nashville Predators,Jake Livingstone,Assigned to AHL
"Feb 27, 2025",Nashville Predators,Marc Del Gaizo,Recalled from AHL
"Feb 27, 2025",Ottawa Senators,Jan Jenik,Assigned to AHL
"Feb 27, 2025",Ottawa Senators,Angus Crookshank,Assigned to AHL
"Feb 27, 2025",Boston Bruins,Oliver Wahlstrom,Placed on Waivers
"Feb 27, 2025",Pittsburgh Penguins,Matt Nieto,Cleared Waivers
"Feb 26, 2025",Minnesota Wild,Brendan Gaunce,Recalled from AHL
"Feb 26, 2025",Edmonton Oilers,Travis Dermott,Assigned to AHL
"Feb 26, 2025",Los Angeles Kings,Joseph Cecconi,Acquired from Minnesota Wild
"Feb 26, 2025",Los Angeles Kings,Tyler Madden,Traded to Minnesota Wild
"Feb 26, 2025",Minnesota Wild,Tyler Madden,Acquired from Los Angeles Kings
"Feb 26, 2025",Minnesota Wild,Joseph Cecconi,Traded to Los Angeles Kings
"Feb 26, 2025",New York Rangers,Matthew Robertson,Recalled from AHL
"Feb 26, 2025",New York Rangers,Adam Fox,Placed on IR
"Feb 26, 2025",Nashville Predators,Jesse Ylonen,Acquired from Tampa Bay Lightning
"Feb 26, 2025",Nashville Predators,Anthony Angello,Traded to Tampa Bay Lightning
"Feb 26, 2025",Tampa Bay Lightning,Anthony Angello,Acquired from Nashville Predators
"Feb 26, 2025",Tampa Bay Lightning,Jesse Ylonen,Traded to Nashville Predators
"Feb 26, 2025",Pittsburgh Penguins,Matt Nieto,Placed on Waivers
"Feb 26, 2025",Edmonton Oilers,Travis Dermott,Claimed on Waivers from Minnesota Wild
"Feb 26, 2025",Minnesota Wild,Travis Dermott,Lost on Waivers to Edmonton Oilers
"Feb 26, 2025",Seattle Kraken,Mitchell Stephens,Assigned to AHL
"Feb 26, 2025",Florida Panthers,Justin Sourdif,Assigned to AHL
"Feb 26, 2025",Winnipeg Jets,Jaret Anderson-Dolan,Recalled from AHL
"Feb 26, 2025",Ottawa Senators,Jan Jenik,Recalled from AHL
"Feb 26, 2025",Ottawa Senators,Angus Crookshank,Recalled from AHL
"Feb 26, 2025",Tampa Bay Lightning,Matt Tomkins,Assigned to AHL
"Feb 26, 2025",Colorado Avalanche,Valeri Nichushkin,Activated from IR
"Feb 25, 2025",Pittsburgh Penguins,Bokondji Imama,Placed on IR
"Feb 25, 2025",Minnesota Wild,Jakub Lauko,Activated from IR
"Feb 25, 2025",Minnesota Wild,Joel Eriksson Ek,Placed on IR
"Feb 25, 2025",Minnesota Wild,Travis Dermott,Placed on Waivers
"Feb 24, 2025",New York Rangers,Brennan Othmann,Recalled from AHL
"Feb 24, 2025",New York Rangers,Matthew Robertson,Assigned to AHL
"Feb 24, 2025",Utah Hockey Club,Juuso Välimäki,Assigned to AHL
"Feb 24, 2025",Florida Panthers,Justin Sourdif,Recalled from AHL
"Feb 24, 2025",Anaheim Ducks,Trevor Zegras,Suspension Started
"Feb 24, 2025",Anaheim Ducks,Ville Husso,Acquired from Detroit Red Wings
"Feb 24, 2025",Detroit Red Wings,Ville Husso,Traded to Anaheim Ducks
"Feb 24, 2025",Chicago Blackhawks,Colton Dach,Recalled from AHL
"Feb 24, 2025",Montreal Canadiens,Owen Beck,Recalled from AHL
"Feb 24, 2025",Winnipeg Jets,Kaapo Kahkonen,Assigned to AHL
"Feb 24, 2025",Utah Hockey Club,Juuso Välimäki,Cleared Waivers
"Feb 24, 2025",Seattle Kraken,Cale Fleury,Assigned to AHL
"Feb 24, 2025",Seattle Kraken,Ales Stezka,Assigned to AHL
"Feb 24, 2025",Seattle Kraken,Nikke Kokko,Recalled from AHL
"Feb 24, 2025",Detroit Red Wings,Andrew Copp,Placed on IR
"Feb 24, 2025",Detroit Red Wings,Sheldon Dries,Recalled from AHL
"Feb 24, 2025",Vancouver Canucks,Victor Mancini,Recalled from AHL
"Feb 23, 2025",Vancouver Canucks,Thatcher Demko,Placed on IR
"Feb 23, 2025",San Jose Sharks,Ty Dellandrea,Activated from IR
"Feb 23, 2025",San Jose Sharks,Nico Sturm,Activated from IR
"Feb 23, 2025",Calgary Flames,Connor Zary,Activated from IR
"Feb 23, 2025",New York Islanders,Ryan Pulock,Activated from IR
"Feb 23, 2025",Utah Hockey Club,Juuso Välimäki,Placed on Waivers
"Feb 23, 2025",Anaheim Ducks,Oscar Dansk,Recalled from AHL
"Feb 23, 2025",Ottawa Senators,Cole Reinhardt,Assigned to AHL
"Feb 23, 2025",Ottawa Senators,Zack Ostapchuk,Assigned to AHL
"Feb 22, 2025",Detroit Red Wings,Craig Smith,Activated from IR
"Feb 22, 2025",Boston Bruins,Charlie McAvoy,Placed on IR
"Feb 22, 2025",Vegas Golden Knights,Tanner Pearson,Activated from IR
"Feb 22, 2025",New York Islanders,Matt Martin,Placed on IR
"Feb 22, 2025",Detroit Red Wings,J.T. Compher,Activated from IR
"Feb 22, 2025",Dallas Stars,Mason Marchment,Activated from IR
"Feb 22, 2025",Buffalo Sabres,Jordan Greenway,Activated from IR
"Feb 22, 2025",Utah Hockey Club,Jaxson Stauber,Assigned to AHL
"Feb 22, 2025",Nashville Predators,Luke Evangelista,Activated from IR
"Feb 22, 2025",Pittsburgh Penguins,Evgeni Malkin,Activated from IR
"Feb 22, 2025",Vancouver Canucks,Dakota Joshua,Activated from IR
"Feb 22, 2025",Ottawa Senators,Noah Gregor,Activated from LTIR
"Feb 22, 2025",Ottawa Senators,Nick Cousins,Placed on LTIR
"Feb 22, 2025",Carolina Hurricanes,Tyson Jost,Activated from LTIR
"Feb 22, 2025",New Jersey Devils,Jonas Siegenthaler,Placed on LTIR
"Feb 22, 2025",Tampa Bay Lightning,Matt Tomkins,Recalled from AHL
"Feb 22, 2025",Tampa Bay Lightning,Jesse Ylonen,Assigned to AHL
"Feb 22, 2025",Vegas Golden Knights,Raphael Lavoie,Recalled from AHL
"Feb 22, 2025",New York Islanders,Dennis Cholowski,Assigned to AHL
"Feb 22, 2025",Winnipeg Jets,Vladislav Namestnikov,Signed 2 years @ $3.000M AAV starting in 2025-26
"Feb 22, 2025",Edmonton Oilers,Matt Savoie,Recalled from AHL
"Feb 22, 2025",Chicago Blackhawks,Louis Crevier,Assigned to AHL
"Feb 22, 2025",Chicago Blackhawks,Louis Crevier,Activated from IR
"Feb 22, 2025",New Jersey Devils,Nico Hischier,Activated from IR
"Feb 22, 2025",Seattle Kraken,Jordan Eberle,Activated from LTIR
"Feb 21, 2025",Vegas Golden Knights,Raphael Lavoie,Assigned to AHL
"Feb 21, 2025",Utah Hockey Club,Sean Durzi,Activated from IR
"Feb 21, 2025",Columbus Blue Jackets,Boone Jenner,Activated from IR
"Feb 21, 2025",Columbus Blue Jackets,Kirill Marchenko,Activated from IR
"Feb 21, 2025",Columbus Blue Jackets,Kevin Labanc,Placed on IR
"Feb 21, 2025",Tampa Bay Lightning,Jesse Ylonen,Recalled from AHL
"Feb 21, 2025",Philadelphia Flyers,Ryan Poehling,Activated from IR
"Feb 21, 2025",Philadelphia Flyers,Egor Zamula,Activated from IR
"Feb 21, 2025",Calgary Flames,Adam Klapka,Recalled from AHL
"Feb 21, 2025",Calgary Flames,Yan Kuznetsov,Assigned to AHL
"Feb 21, 2025",Seattle Kraken,Cale Fleury,Recalled from AHL
"Feb 21, 2025",Winnipeg Jets,Kaapo Kahkonen,Recalled from AHL
"Feb 21, 2025",Nashville Predators,Adam Wilsby,Placed on IR
"Feb 21, 2025",Nashville Predators,Zachary L'Heureux,Placed on IR
"Feb 21, 2025",Nashville Predators,Mark Jankowski,Activated from IR
"Feb 21, 2025",Seattle Kraken,Yanni Gourde,Placed on LTIR
"Feb 21, 2025",Calgary Flames,Tyson Barrie,Assigned to AHL
"Feb 21, 2025",New York Islanders,Dennis Cholowski,Cleared Waivers
"Feb 21, 2025",Calgary Flames,Tyson Barrie,Cleared Waivers
"Feb 21, 2025",Vancouver Canucks,Kevin Lankinen,Signed 5 years @ $4.500M AAV starting in 2025-26
"Feb 21, 2025",Nashville Predators,Jake Livingstone,Recalled from AHL
"Feb 21, 2025",Nashville Predators,Kieffer Bellows,Recalled from AHL
"Feb 20, 2025",Winnipeg Jets,Adam Lowry,Activated from IR
"Feb 20, 2025",Columbus Blue Jackets,Joseph LaBate,Recalled from AHL
"Feb 20, 2025",New York Rangers,Matthew Robertson,Recalled from AHL
"Feb 20, 2025",New York Rangers,Dylan Garand,Assigned to AHL
"Feb 20, 2025",New Jersey Devils,Chase Stillman,Assigned to AHL
"Feb 20, 2025",Calgary Flames,Ilya Solovyov,Recalled from AHL
"Feb 20, 2025",Calgary Flames,Yan Kuznetsov,Recalled from AHL
"Feb 20, 2025",St. Louis Blues,Zack Bolduc,Recalled from AHL
"Feb 20, 2025",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Feb 20, 2025",Vegas Golden Knights,Raphael Lavoie,Recalled from AHL
"Feb 20, 2025",New York Islanders,Dennis Cholowski,Placed on Waivers
"Feb 20, 2025",Calgary Flames,Tyson Barrie,Placed on Waivers
"Feb 19, 2025",New Jersey Devils,Nico Daws,Recalled from AHL
"Feb 19, 2025",Seattle Kraken,Ales Stezka,Recalled from AHL
"Feb 18, 2025",Pittsburgh Penguins,Tristan Jarry,Assigned to AHL
"Feb 18, 2025",Chicago Blackhawks,Ethan Del Mastro,Recalled from AHL
"Feb 18, 2025",Tampa Bay Lightning,Gage Goncalves,Recalled from AHL
"Feb 18, 2025",Vancouver Canucks,Arturs Silovs,Recalled from AHL
"Feb 18, 2025",Vancouver Canucks,Elias Pettersson,Recalled from AHL
"Feb 18, 2025",Vancouver Canucks,Arshdeep Bains,Recalled from AHL
"Feb 18, 2025",Vancouver Canucks,Nils Aman,Recalled from AHL
"Feb 18, 2025",Utah Hockey Club,Jaxson Stauber,Emergency Recall
"Feb 18, 2025",Utah Hockey Club,Josh Doan,Recalled from AHL
"Feb 18, 2025",Boston Bruins,Riley Tufte,Emergency Recall
"Feb 18, 2025",Boston Bruins,Michael Callahan,Recalled from AHL
"Feb 18, 2025",Boston Bruins,Matthew Poitras,Recalled from AHL
"Feb 18, 2025",New Jersey Devils,Simon Nemec,Recalled from AHL
"Feb 18, 2025",New Jersey Devils,Seamus Casey,Recalled from AHL
"Feb 18, 2025",New Jersey Devils,Chase Stillman,Recalled from AHL
"Feb 18, 2025",New Jersey Devils,Jonas Siegenthaler,Placed on IR
"Feb 18, 2025",New Jersey Devils,Jacob Markstrom,Placed on IR
"Feb 18, 2025",San Jose Sharks,Jack Thompson,Recalled from AHL
"Feb 18, 2025",San Jose Sharks,Collin Graf,Recalled from AHL
"Feb 18, 2025",Nashville Predators,Grigori Denisenko,Acquired from Vegas Golden Knights
"Feb 18, 2025",Vegas Golden Knights,Grigori Denisenko,Traded to Nashville Predators
"Feb 18, 2025",New York Rangers,Dylan Garand,Recalled from AHL
"Feb 18, 2025",Dallas Stars,Lian Bichsel,Recalled from AHL
"Feb 18, 2025",Toronto Maple Leafs,Alex Steeves,Recalled from AHL
"Feb 18, 2025",Vancouver Canucks,Drew O'Connor,Signed 2 years @ $2.500M AAV starting in 2025-26
"Feb 18, 2025",Pittsburgh Penguins,Joel Blomqvist,Recalled from AHL
"Feb 18, 2025",Ottawa Senators,Cole Reinhardt,Recalled from AHL
"Feb 18, 2025",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Feb 18, 2025",Detroit Red Wings,Marco Kasper,Recalled from AHL
"Feb 18, 2025",Detroit Red Wings,Elmer Soderblom,Recalled from AHL
"Feb 18, 2025",Minnesota Wild,Liam Ohgren,Recalled from AHL
"Feb 18, 2025",Minnesota Wild,Devin Shore,Recalled from AHL
"Feb 14, 2025",Dallas Stars,Sam Steel,Signed 2 years @ $2.100M AAV starting in 2025-26
"Feb 13, 2025",St. Louis Blues,Mathias Laferriere,Traded to Pittsburgh Penguins
"Feb 13, 2025",St. Louis Blues,Corey Andonovski,Acquired from Pittsburgh Penguins
"Feb 13, 2025",Pittsburgh Penguins,Corey Andonovski,Traded to St. Louis Blues
"Feb 13, 2025",Pittsburgh Penguins,Mathias Laferriere,Acquired from St. Louis Blues
"Feb 12, 2025",Minnesota Wild,Devin Shore,Assigned to AHL
"Feb 12, 2025",Minnesota Wild,Devin Shore,Cleared Waivers
"Feb 11, 2025",Minnesota Wild,Devin Shore,Placed on Waivers
"Feb 10, 2025",Nashville Predators,Andreas Englund,Claimed on Waivers from Los Angeles Kings
"Feb 10, 2025",Los Angeles Kings,Andreas Englund,Lost on Waivers to Nashville Predators
"Feb 10, 2025",Seattle Kraken,Mitchell Stephens,Cleared Waivers
"Feb 9, 2025",Calgary Flames,Dryden Hunt,Assigned to AHL
"Feb 9, 2025",St. Louis Blues,Zack Bolduc,Assigned to AHL
"Feb 9, 2025",Philadelphia Flyers,Emil Andrae,Assigned to AHL
"Feb 9, 2025",Philadelphia Flyers,Rodrigo Abols,Assigned to AHL
"Feb 9, 2025",Columbus Blue Jackets,Luca Del Bel Belluz,Assigned to AHL
"Feb 9, 2025",Columbus Blue Jackets,Mikael Pyyhtia,Assigned to AHL
"Feb 9, 2025",Tampa Bay Lightning,Brandon Halverson,Assigned to AHL
"Feb 9, 2025",Tampa Bay Lightning,Gage Goncalves,Assigned to AHL
"Feb 9, 2025",Tampa Bay Lightning,Dylan Duke,Assigned to AHL
"Feb 9, 2025",Montreal Canadiens,Logan Mailloux,Assigned to AHL
"Feb 9, 2025",Montreal Canadiens,Owen Beck,Assigned to AHL
"Feb 9, 2025",Nashville Predators,Adam Wilsby,Signed 2 years @ $775K AAV starting in 2025-26
"Feb 9, 2025",Nashville Predators,Ozzy Wiesblatt,Assigned to AHL
"Feb 9, 2025",Nashville Predators,Joakim Kemell,Assigned to AHL
"Feb 9, 2025",Nashville Predators,Kevin Gravel,Assigned to AHL
"Feb 9, 2025",Utah Hockey Club,Josh Doan,Assigned to AHL
"Feb 9, 2025",Los Angeles Kings,Andreas Englund,Placed on Waivers
"Feb 9, 2025",Pittsburgh Penguins,Jesse Puljujarvi,Cleared Waivers
"Feb 9, 2025",Pittsburgh Penguins,Vladislav Kolyachonok,Claimed on Waivers from Utah Hockey Club
"Feb 9, 2025",Utah Hockey Club,Vladislav Kolyachonok,Lost on Waivers to Pittsburgh Penguins
"Feb 9, 2025",Seattle Kraken,Mitchell Stephens,Placed on Waivers
"Feb 9, 2025",Seattle Kraken,Ales Stezka,Assigned to AHL
"Feb 9, 2025",Seattle Kraken,Cale Fleury,Assigned to AHL
"Feb 9, 2025",Ottawa Senators,Cole Reinhardt,Assigned to AHL
"Feb 9, 2025",Tampa Bay Lightning,J.J. Moser,Activated from IR
"Feb 9, 2025",Minnesota Wild,Liam Ohgren,Assigned to AHL
"Feb 9, 2025",New York Rangers,Dylan Garand,Assigned to AHL
"Feb 9, 2025",San Jose Sharks,Jack Thompson,Assigned to AHL
"Feb 9, 2025",San Jose Sharks,Andrew Poturalski,Assigned to AHL
"Feb 9, 2025",San Jose Sharks,Collin Graf,Assigned to AHL
"Feb 9, 2025",Boston Bruins,Michael Callahan,Assigned to AHL
"Feb 9, 2025",Boston Bruins,Matthew Poitras,Assigned to AHL
"Feb 9, 2025",Buffalo Sabres,Tyson Kozak,Assigned to AHL
"Feb 9, 2025",Buffalo Sabres,Felix Sandstrom,Assigned to AHL
"Feb 9, 2025",Vancouver Canucks,Nils Aman,Assigned to AHL
"Feb 9, 2025",Vancouver Canucks,Linus Karlsson,Assigned to AHL
"Feb 9, 2025",Vancouver Canucks,Elias Pettersson,Assigned to AHL
"Feb 9, 2025",Toronto Maple Leafs,Dakota Mermis,Assigned to AHL
"Feb 9, 2025",Calgary Flames,Adam Klapka,Assigned to AHL
"Feb 9, 2025",Calgary Flames,Ilya Solovyov,Assigned to AHL
"Feb 9, 2025",Dallas Stars,Lian Bichsel,Assigned to AHL
"Feb 8, 2025",Vegas Golden Knights,Alexander Holtz,Assigned to AHL
"Feb 8, 2025",Nashville Predators,Mark Jankowski,Placed on IR
"Feb 8, 2025",Chicago Blackhawks,Ethan Del Mastro,Assigned to AHL
"Feb 8, 2025",Pittsburgh Penguins,Tristan Jarry,Recalled from AHL
"Feb 8, 2025",Pittsburgh Penguins,Joel Blomqvist,Assigned to AHL
"Feb 8, 2025",Pittsburgh Penguins,Emil Bemstrom,Assigned to AHL
"Feb 8, 2025",Carolina Hurricanes,Juha Jaaska,Assigned to AHL
"Feb 8, 2025",Carolina Hurricanes,Scott Morrow,Assigned to AHL
"Feb 8, 2025",Detroit Red Wings,Elmer Soderblom,Assigned to AHL
"Feb 8, 2025",Detroit Red Wings,Marco Kasper,Assigned to AHL
