team_id,team_tricode,season,forwards,defensemen,goalies
17,DET,19481949,"[8444857, 8445193, 8445513, 8445745, 8446573, 8446575, 8446594, 8446656, 8446913, 8448000, 8447500, 8447530, 8447544, 8447769, 8447810, 8447894, 8448103, 8448163, 8448167, 8448308, 8448947]","[8446333, 8447149, 8447656, 8448235, 8448317, 8449184]",[8450019]
17,DET,19491950,"[8444857, 8444992, 8445082, 8445349, 8445745, 8446575, 8446594, 8446660, 8448000, 8447500, 8447769, 8447788, 8447810, 8448103, 8448136, 8448947, 8449050, 8449556, 8449557]","[8445888, 8446333, 8447149, 8447623, 8448214, 8448317, 8449184]","[8450019, 8450111]"
17,DET,19501951,"[8444857, 8445082, 8445349, 8445745, 8445865, 8446575, 8446594, 8446640, 8448000, 8447044, 8447500, 8447769, 8447810, 8448103, 8448136, 8448223, 8449050, 8449176, 8449183, 8449556, 8449598]","[8446333, 8446603, 8447149, 8447623, 8448214, 8448242, 8448317]",[8450111]
17,DET,19511952,"[8444857, 8445865, 8446594, 8448000, 8447471, 8447500, 8448103, 8448223, 8448947, 8449050, 8449176, 8449556, 8449557, 8449598]","[8446339, 8446603, 8447149, 8448214, 8448317, 8449679]",[8450111]
17,DET,19521953,"[8445116, 8445865, 8446228, 8448000, 8447044, 8447471, 8447500, 8448103, 8448223, 8449046, 8449050, 8449176, 8449556, 8449557, 8449598]","[8446339, 8446603, 8446751, 8446930, 8447149, 8448214, 8449679]","[8449802, 8449988, 8450111]"
17,DET,19531954,"[8445116, 8445865, 8445909, 8445956, 8448000, 8447097, 8447471, 8447500, 8448103, 8448136, 8448223, 8448305, 8449050, 8449153, 8449176, 8449556, 8449598]","[8444873, 8444955, 8446603, 8446751, 8447149, 8448214]","[8449968, 8450111, 8450149]"
17,DET,19541955,"[8445116, 8445851, 8445865, 8445909, 8448000, 8447471, 8447500, 8448103, 8448169, 8448223, 8448305, 8449050, 8449176, 8449556, 8449598]","[8444873, 8446603, 8446751, 8446864, 8447149, 8448214, 8449685]","[8449988, 8450111]"
17,DET,19551956,"[8445240, 8445294, 8445371, 8445573, 8445638, 8445865, 8445909, 8446197, 8448000, 8447500, 8447837, 8448103, 8448223, 8448305, 8448783, 8449153, 8449244, 8449274]","[8444955, 8446599, 8446603, 8446864, 8446896, 8447149, 8448214]",[8449988]
17,DET,19561957,"[8445001, 8445240, 8445638, 8445855, 8445865, 8445909, 8446197, 8448000, 8447500, 8447676, 8447817, 8448103, 8448223, 8448305, 8449274]","[8444878, 8444955, 8446599, 8446864, 8446896, 8447149, 8448214, 8449196]",[8449988]
17,DET,19571958,"[8445001, 8445294, 8445855, 8445865, 8445909, 8446197, 8446228, 8448000, 8447164, 8447179, 8447287, 8447471, 8447676, 8447717, 8447817, 8447818, 8447854, 8448056, 8448058, 8448169, 8448223, 8448305, 8449063, 8449274, 8449556]","[8444876, 8444955, 8446599, 8446601, 8446783, 8446896, 8447149, 8447786, 8448214, 8449196]",[8450111]
17,DET,19581959,"[8444858, 8445289, 8445294, 8445865, 8446142, 8446301, 8446898, 8448000, 8447164, 8447274, 8447527, 8447676, 8447817, 8447818, 8447854, 8449274, 8449556]","[8446599, 8446601, 8446783, 8447149, 8447611, 8447786, 8447899, 8448214, 8449196]","[8450065, 8450111]"
17,DET,19591960,"[8444868, 8445825, 8445865, 8446342, 8446664, 8448000, 8447164, 8447527, 8449494, 8447817, 8447818, 8447837, 8448056, 8449063, 8449125, 8449274]","[8446599, 8446601, 8446657, 8447149, 8447611, 8447786, 8447895, 8448214, 8448259]","[8449832, 8450100, 8450111]"
17,DET,19601961,"[8444868, 8445865, 8445898, 8446342, 8446595, 8446664, 8448000, 8447093, 8447260, 8447274, 8447527, 8447537, 8447540, 8449494, 8447837, 8448056, 8449063, 8449176, 8449274]","[8446599, 8446601, 8446759, 8448049, 8448214, 8448259, 8449667]","[8449804, 8450111]"
17,DET,19611962,"[8445108, 8445865, 8445906, 8446342, 8446595, 8446898, 8448000, 8447051, 8447093, 8447164, 8447260, 8447274, 8447502, 8447527, 8447536, 8447537, 8447540, 8447627, 8448347, 8449176, 8449274]","[8446513, 8446599, 8446601, 8446783, 8448049, 8448194, 8448214, 8449667]","[8449804, 8450111]"
