playerID,seasonAssists,seasonGameTypeId,seasonGamesPlayed,seasonGoals,seasonLeagueAbbrev,seasonPIM,seasonPoints,seasonSeason,seasonTeamName,seasonWins,seasonLosses,seasonGAA,seasonSavePct,seasonOTLosses,seasonShotsAgainst,seasonShutouts,seasonGoalsAgainst,seasonTimeOnIce,seasonTies
8484158,5,2,4,3,Memorial Cup,2,8,20232024,London Knights,,,,,,,,,,
8484158,1,2,5,1,WJC-20,2,2,20232024,Canada U20,,,,,,,,,,
8484158,24,3,18,10,OHL,18,34,20232024,London Knights,,,,,,,,,,
8484158,40,2,46,29,OHL,41,69,20242025,London Knights,,,,,,,,,,
8484158,2,2,5,1,WJC-20,4,3,20242025,Canada U20,,,,,,,,,,
8484158,26,3,17,13,OHL,16,39,20242025,London Knights,,,,,,,,,,
8484159,4,2,6,2,Brick Invitational,6,6,20142015,BC Junior Canucks,,,,,,,,,,
8484159,0,3,1,0,Brick Invitational,0,0,20142015,BC Junior Canucks,,,,,,,,,,
8484159,6,2,4,1,QC Int PW,0,7,20162017,Burnaby Winter Club Bruins,,,,,,,,,,
8484159,2,2,4,1,QC Int PW,2,3,20172018,Burnaby Winter Club Bruins,,,,,,,,,,
8484159,27,2,30,25,CSSHL U15,16,52,20182019,St. George's School U15 Prep,,,,,,,,,,
8484159,2,3,3,1,CSSHL U15,2,3,20182019,St. George's School U15 Prep,,,,,,,,,,
8484159,37,2,27,43,CSSHL U15,47,80,20192020,St. George's School U15 Prep,,,,,,,,,,
8484159,0,2,1,1,CSSHL U16,0,1,20192020,St. George's School Elite 15s,,,,,,,,,,
8484159,3,3,2,4,CSSHL U15,2,7,20192020,St. George's School U15 Prep,,,,,,,,,,
8484159,3,2,14,2,WHL,0,5,20202021,Kelowna Rockets,,,,,,,,,,
8484159,1,2,4,3,CSSHL U18,8,4,20202021,St. George's School U18 Prep,,,,,,,,,,
8484159,41,2,61,28,WHL,32,69,20212022,Kelowna Rockets,,,,,,,,,,
8484159,4,3,5,0,WHL,2,4,20212022,Kelowna Rockets,,,,,,,,,,
8484159,56,2,54,39,WHL,50,95,20222023,Kelowna Rockets,,,,,,,,,,
8484159,4,2,7,2,WJC-18,2,6,20222023,Canada U18,,,,,,,,,,
8484159,5,2,5,1,Hlinka Gretzky Cup,6,6,20222023,Canada U18,,,,,,,,,,
8484159,0,3,4,1,WHL,2,1,20222023,Kelowna Rockets,,,,,,,,,,
8484159,71,2,62,40,WHL,46,111,20232024,Kelowna Rockets,,,,,,,,,,
8484159,11,3,11,4,WHL,10,15,20232024,Kelowna Rockets,,,,,,,,,,
8484159,34,2,28,26,WHL,26,60,20242025,Kelowna Rockets,,,,,,,,,,
8484159,50,2,29,22,WHL,8,72,20242025,Spokane Chiefs,,,,,,,,,,
8484159,20,3,19,21,WHL,11,41,20242025,Spokane Chiefs,,,,,,,,,,
8484160,17,2,36,9,AMBHL,10,26,20172018,Red Deer Rebels U15 AAA,,,,,,,,,,
8484160,0,3,2,1,AMBHL,0,1,20172018,Red Deer Rebels U15 AAA,,,,,,,,,,
8484160,33,2,29,26,AMBHL,16,59,20182019,Red Deer Rebels U15 AAA,,,,,,,,,,
8484160,0,2,2,4,AMMHL,0,4,20182019,Red Deer Northstar Chief U17 AAA,,,,,,,,,,
8484160,13,3,12,9,AMBHL,14,22,20182019,Red Deer Rebels U15 AAA,,,,,,,,,,
8484160,1,2,4,2,YOG,0,3,20192020,Canada U16,,,,,,,,,,
8484160,34,2,27,26,CSSHL U18,20,60,20192020,Northern Alberta Xtreme U18 Prep,,,,,,,,,,
8484160,4,3,2,1,CSSHL U18,2,5,20192020,Northern Alberta Xtreme U18 Prep,,,,,,,,,,
8484160,12,2,24,3,WHL,8,15,20202021,Brandon Wheat Kings,,,,,,,,,,
8484160,4,2,5,6,AEHL U18,10,10,20202021,Red Deer Chiefs U18 AAA,,,,,,,,,,
8484160,34,2,53,23,WHL,34,57,20212022,Brandon Wheat Kings,,,,,,,,,,
8484160,2,3,6,1,WHL,2,3,20212022,Brandon Wheat Kings,,,,,,,,,,
8484160,45,2,68,33,WHL,38,78,20222023,Brandon Wheat Kings,,,,,,,,,,
8484160,29,2,28,12,WHL,28,41,20232024,Portland Winterhawks,,,,,,,,,,
8484160,14,2,26,12,WHL,14,26,20232024,Brandon Wheat Kings,,,,,,,,,,
8484160,2,2,5,1,WJC-20,0,3,20232024,Canada U20,,,,,,,,,,
8484160,0,3,2,0,AHL,0,0,20232024,Grand Rapids Griffins,,,,,,,,,,
8484160,17,3,18,7,WHL,16,24,20232024,Portland Winterhawks,,,,,,,,,,
8484160,27,2,71,12,AHL,33,39,20242025,Grand Rapids Griffins,,,,,,,,,,
8484160,0,3,3,1,AHL,9,1,20242025,Grand Rapids Griffins,,,,,,,,,,
8484164,0,2,6,3,WSI U12,14,3,20152016,Slovakia Selects U12,,,,,,,,,,
8484164,0,2,6,4,WSI U12,6,4,20162017,Sweden Selects U12,,,,,,,,,,
8484164,3,2,7,7,WSI U13,,10,20172018,Sweden Selects U13,,,,,,,,,,
8484164,11,2,18,8,U16 Div.1,4,19,20182019,Flemingsbergs IK U16,,,,,,,,,,
8484164,5,2,7,6,WSI U14,,11,20182019,Sweden Selects U14,,,,,,,,,,
8484164,8,2,8,11,Slovakia U18 2,0,19,20192020,HKM Zvolen U18,,,,,,,,,,
8484164,12,2,22,10,U16 Elit,2,22,20192020,Linköping HC U16,,,,,,,,,,
8484164,2,2,2,4,U16 Div.1,0,6,20192020,Linköping HC U16 2,,,,,,,,,,
8484164,10,2,6,4,J18 Region,0,14,20202021,AIK J18,,,,,,,,,,
8484164,2,2,20,2,Slovakia,8,4,20202021,HC Banska Bystrica,,,,,,,,,,
8484164,1,2,17,2,HockeyAllsvenskan,0,3,20212022,AIK,,,,,,,,,,
8484164,20,2,33,20,J20 Nationell,43,40,20212022,AIK J20,,,,,,,,,,
8484164,6,2,5,5,WJC-18 D1A,4,11,20212022,Slovakia U18,,,,,,,,,,
8484164,1,2,4,1,WJC-20,0,2,20212022,Slovakia U20,,,,,,,,,,
8484164,4,2,5,8,Hlinka Gretzky Cup,2,12,20212022,Slovakia U18,,,,,,,,,,
8484164,5,3,6,1,J20 Nationell,2,6,20212022,AIK J20,,,,,,,,,,
8484164,1,3,1,0,J18 Nationell,0,1,20212022,AIK J18,,,,,,,,,,
8484164,8,2,38,6,HockeyAllsvenskan,16,14,20222023,AIK,,,,,,,,,,
8484164,11,2,10,10,J20 Nationell,2,21,20222023,AIK J20,,,,,,,,,,
8484164,5,2,7,8,WJC-18,6,13,20222023,Slovakia U18,,,,,,,,,,
8484164,2,2,5,1,WJC-20,0,3,20222023,Slovakia U20,,,,,,,,,,
8484164,0,3,7,0,HockeyAllsvenskan,0,0,20222023,AIK,,,,,,,,,,
8484164,1,3,3,3,J20 Nationell,0,4,20222023,AIK J20,,,,,,,,,,
8484164,2,3,4,5,J18 Nationell,0,7,20222023,AIK J18,,,,,,,,,,
8484164,0,2,10,0,SHL,0,0,20232024,IK Oskarshamn,,,,,,,,,,
8484164,43,2,52,45,OHL,17,88,20232024,Sudbury Wolves,,,,,,,,,,
8484164,3,2,5,3,WJC-20,0,6,20232024,Slovakia U20,,,,,,,,,,
8484164,7,3,9,3,OHL,2,10,20232024,Sudbury Wolves,,,,,,,,,,
8484164,0,2,2,0,NHL,0,0,20242025,St. Louis Blues,,,,,,,,,,
8484164,4,2,5,5,WJC-20,0,9,20242025,Slovakia U20,,,,,,,,,,
8484164,24,2,61,21,AHL,22,45,20242025,Springfield Thunderbirds,,,,,,,,,,
8484164,2,3,3,0,AHL,0,2,20242025,Springfield Thunderbirds,,,,,,,,,,
8484166,0,2,6,3,Brick Invitational,0,3,20132014,Toronto Pro Hockey,,,,,,,,,,
8484166,0,3,2,0,Brick Invitational,2,0,20132014,Toronto Pro Hockey,,,,,,,,,,
8484166,4,2,9,6,WSI U14,,10,20172018,Draftday Hockey Selects U14 2,,,,,,,,,,
8484166,15,2,32,26,GTHL U16,32,41,20182019,Toronto Red Wings U16 AAA,,,,,,,,,,
8484166,5,2,9,5,WSI U15,10,10,20182019,Draftday Selects U15,,,,,,,,,,
8484166,18,2,26,18,USHS-Prep,0,36,20192020,Kimball Union Academy,,,,,,,,,,
8484166,1,2,4,2,YOG,8,3,20192020,Canada U16,,,,,,,,,,
