seasonID,playerID,seasonType,statCategory,statValue
19241925,8449817,2,goalsAgainstAverage,2.116115
19241925,8449856,2,goalsAgainstAverage,2.137902
19241925,8450103,2,goalsAgainstAverage,2.8
19241925,8450137,3,wins,3.0
19241925,8449997,3,wins,3.0
19241925,8450137,3,shutouts,1.0
19241925,8449997,3,goalsAgainstAverage,2.0
19241925,8450103,3,goalsAgainstAverage,2.5
19241925,8450137,3,goalsAgainstAverage,3.0
19251926,8449856,2,wins,24.0
19251926,8449817,2,wins,20.0
19251926,8450153,2,wins,18.0
19251926,8450120,2,wins,16.0
19251926,8449918,2,wins,12.0
19251926,8449856,2,shutouts,15.0
19251926,8450153,2,shutouts,7.0
19251926,8450120,2,shutouts,6.0
19251926,8449817,2,shutouts,6.0
19251926,8449918,2,shutouts,2.0
19251926,8449856,2,goalsAgainstAverage,1.119502
19251926,8450153,2,goalsAgainstAverage,1.902098
19251926,8449817,2,goalsAgainstAverage,1.91601
19251926,8450120,2,goalsAgainstAverage,2.209945
19251926,8449918,2,goalsAgainstAverage,2.303571
19251926,8449817,3,wins,5.0
19251926,8449997,3,wins,1.0
19251926,8449817,3,shutouts,4.0
19251926,8449817,3,goalsAgainstAverage,1.0
19251926,8449856,3,goalsAgainstAverage,1.0
19251926,8449997,3,goalsAgainstAverage,2.5
19251926,8450153,3,goalsAgainstAverage,3.0
19261927,8449856,2,wins,30.0
19261927,8449987,2,wins,28.0
19261927,8449850,2,wins,22.0
19261927,8449817,2,wins,20.0
19261927,8450013,2,wins,19.0
19261927,8449987,2,shutouts,14.0
19261927,8449817,2,shutouts,13.0
19261927,8449856,2,shutouts,13.0
19261927,8449850,2,shutouts,10.0
19261927,8449918,2,shutouts,8.0
19261927,8449817,2,goalsAgainstAverage,1.419731
19261927,8449987,2,goalsAgainstAverage,1.467689
19261927,8449856,2,goalsAgainstAverage,1.483871
19261927,8449850,2,goalsAgainstAverage,1.508308
19261927,8450150,2,goalsAgainstAverage,1.657977
19261927,8449856,3,wins,3.0
19261927,8450150,3,wins,2.0
19261927,8449987,3,wins,1.0
19261927,8449856,3,shutouts,2.0
19261927,8450150,3,shutouts,2.0
19261927,8449850,3,shutouts,1.0
19261927,8449987,3,shutouts,1.0
19261927,8449856,3,goalsAgainstAverage,0.6
19261927,8449817,3,goalsAgainstAverage,0.908517
19261927,8449987,3,goalsAgainstAverage,1.428099
19261927,8450150,3,goalsAgainstAverage,1.5
19261927,8449850,3,goalsAgainstAverage,1.5
19271928,8449987,2,wins,26.0
19271928,8449817,2,wins,24.0
19271928,8449856,2,wins,20.0
19271928,8450150,2,wins,20.0
19271928,8449850,2,wins,19.0
19271928,8449856,2,shutouts,15.0
19271928,8450150,2,shutouts,15.0
19271928,8449987,2,shutouts,13.0
19271928,8449850,2,shutouts,11.0
19271928,8449997,2,shutouts,11.0
19271928,8449987,2,goalsAgainstAverage,1.060728
19271928,8449856,2,goalsAgainstAverage,1.241252
19271928,8450150,2,goalsAgainstAverage,1.522429
19271928,8450153,2,goalsAgainstAverage,1.664234
19271928,8449817,2,goalsAgainstAverage,1.704354
19271928,8449817,3,wins,5.0
19271928,8449850,3,wins,2.0
19271928,8450043,3,wins,2.0
19271928,8450153,3,wins,1.0
19271928,8448095,3,wins,1.0
19271928,8449817,3,shutouts,4.0
19271928,8450043,3,shutouts,1.0
19271928,8449850,3,shutouts,1.0
19271928,8449817,3,goalsAgainstAverage,0.864164
19271928,8450043,3,goalsAgainstAverage,1.0
19271928,8449987,3,goalsAgainstAverage,1.402233
19271928,8449850,3,goalsAgainstAverage,1.445783
19271928,8449856,3,goalsAgainstAverage,1.5
19281929,8450127,2,wins,26.0
19281929,8449987,2,wins,22.0
19281929,8450103,2,wins,21.0
19281929,8449850,2,wins,20.0
19281929,8449897,2,wins,19.0
19281929,8449987,2,shutouts,22.0
19281929,8450153,2,shutouts,13.0
19281929,8450103,2,shutouts,13.0
19281929,8450127,2,shutouts,12.0
19281929,8449817,2,shutouts,11.0
19281929,8449987,2,goalsAgainstAverage,0.921429
19281929,8450127,2,goalsAgainstAverage,1.151292
19281929,8450153,2,goalsAgainstAverage,1.154812
19281929,8449897,2,goalsAgainstAverage,1.374545
19281929,8450103,2,goalsAgainstAverage,1.413043
19281929,8450127,3,wins,5.0
19281929,8450103,3,wins,3.0
19281929,8449850,3,wins,2.0
19281929,8450127,3,shutouts,3.0
19281929,8450103,3,shutouts,3.0
19281929,8450153,3,shutouts,1.0
19281929,8450153,3,goalsAgainstAverage,0.400445
19281929,8450127,3,goalsAgainstAverage,0.6
19281929,8450103,3,goalsAgainstAverage,0.765469
19281929,8449850,3,goalsAgainstAverage,1.239243
19281929,8449987,3,goalsAgainstAverage,1.666667
19291930,8450127,2,wins,38.0
19291930,8449856,2,wins,21.0
19291930,8449966,2,wins,21.0
19291930,8449987,2,wins,20.0
19291930,8450103,2,wins,17.0
19291930,8449850,2,shutouts,6.0
19291930,8449987,2,shutouts,4.0
19291930,8449856,2,shutouts,3.0
19291930,8449966,2,shutouts,3.0
19291930,8450127,2,shutouts,3.0
19291930,8450127,2,goalsAgainstAverage,2.19403
19291930,8450144,2,goalsAgainstAverage,2.382671
19291930,8449987,2,goalsAgainstAverage,2.41791
19291930,8449966,2,goalsAgainstAverage,2.421818
19291930,8449850,2,goalsAgainstAverage,2.538462
19291930,8449987,3,wins,5.0
19291930,8450127,3,wins,3.0
19291930,8450103,3,wins,1.0
19291930,8450144,3,wins,1.0
19291930,8449987,3,shutouts,3.0
19291930,8450144,3,shutouts,1.0
19291930,8450144,3,goalsAgainstAverage,0.384595
19291930,8449987,3,goalsAgainstAverage,0.74961
19291930,8449966,3,goalsAgainstAverage,1.050277
19291930,8450103,3,goalsAgainstAverage,1.35981
19291930,8450127,3,goalsAgainstAverage,1.666602
19301931,8450127,2,wins,28.0
19301931,8449987,2,wins,26.0
19301931,8449966,2,wins,24.0
19301931,8449850,2,wins,21.0
19301931,8450103,2,wins,19.0
19301931,8449966,2,shutouts,12.0
19301931,8449987,2,shutouts,8.0
19301931,8450153,2,shutouts,8.0
19301931,8450103,2,shutouts,7.0
19301931,8449850,2,shutouts,6.0
19301931,8450153,2,goalsAgainstAverage,1.608696
19301931,8449966,2,goalsAgainstAverage,1.726937
19301931,8450103,2,goalsAgainstAverage,1.891304
19301931,8449987,2,goalsAgainstAverage,1.948905
19301931,8450127,2,goalsAgainstAverage,1.978022
19301931,8449987,3,wins,6.0
19301931,8449966,3,wins,5.0
19301931,8450127,3,wins,2.0
19301931,8450103,3,wins,2.0
19301931,8449966,3,shutouts,2.0
19301931,8449987,3,shutouts,2.0
19301931,8450103,3,shutouts,1.0
19301931,8450103,3,goalsAgainstAverage,1.0
19301931,8449966,3,goalsAgainstAverage,1.316614
19301931,8449850,3,goalsAgainstAverage,1.722488
19301931,8449987,3,goalsAgainstAverage,1.745717
19301931,8450127,3,goalsAgainstAverage,2.277816
19311932,8449987,2,wins,25.0
19311932,8450103,2,wins,23.0
19311932,8449850,2,wins,21.0
19311932,8449856,2,wins,18.0
19311932,8449966,2,wins,18.0
19311932,8450127,2,shutouts,9.0
19311932,8450103,2,shutouts,9.0
19311932,8449856,2,shutouts,6.0
19311932,8449987,2,shutouts,6.0
19311932,8450153,2,shutouts,5.0
19311932,8449966,2,goalsAgainstAverage,1.846771
19311932,8449856,2,goalsAgainstAverage,2.131579
19311932,8449987,2,goalsAgainstAverage,2.194149
19311932,8450103,2,goalsAgainstAverage,2.232558
19311932,8450127,2,goalsAgainstAverage,2.267226
19311932,8449850,3,wins,5.0
19311932,8450103,3,wins,3.0
19311932,8449987,3,wins,1.0
19311932,8450144,3,wins,1.0
19311932,8449966,3,wins,1.0
19311932,8449966,3,shutouts,1.0
19311932,8450144,3,shutouts,1.0
19311932,8450103,3,shutouts,1.0
19311932,8450144,3,goalsAgainstAverage,1.162866
19311932,8449856,3,goalsAgainstAverage,1.5
19311932,8449850,3,goalsAgainstAverage,2.054873
19311932,8449987,3,goalsAgainstAverage,2.604051
19311932,8449966,3,goalsAgainstAverage,3.0
19321933,8450103,2,wins,25.0
19321933,8450127,2,wins,25.0
19321933,8449850,2,wins,24.0
19321933,8449787,2,wins,23.0
19321933,8449987,2,wins,18.0
19321933,8450127,2,shutouts,11.0
19321933,8450103,2,shutouts,10.0
19321933,8449987,2,shutouts,8.0
19321933,8449821,2,shutouts,5.0
19321933,8450153,2,shutouts,5.0
19321933,8450127,2,goalsAgainstAverage,1.76
19321933,8450103,2,goalsAgainstAverage,1.878788
19321933,8449966,2,goalsAgainstAverage,2.013289
19321933,8450009,2,goalsAgainstAverage,2.148148
19321933,8449787,2,goalsAgainstAverage,2.161616
19321933,8449787,3,wins,6.0
19321933,8449850,3,wins,4.0
19321933,8450127,3,wins,2.0
19321933,8450103,3,wins,2.0
19321933,8449787,3,shutouts,2.0
