teamID,playerID,headshotURLs,firstName,lastName,positionCode,seasonGamesPlayed,seasonGoals,seasonAssists,seasonPoints,seasonPlusMinus,seasonShots,seasonShootingPct,seasonAvgTOI,seasonAvgShifts,seasonFOWinPct,seasonGS,seasonWins,seasonLosses,seasonTies,seasonOTLosses,seasonGAA,seasonSavePct,seasonSA,seasonSaves,seasonGA,seasonSO,seasonTOI
7,8475722,https://assets.nhle.com/mugs/nhl/20242025/BUF/8475722.png,Jason,Zucker,L,73,21,32,53,4,143,0.146853,959.6301,20.137,0.396226,,,,,,,,,,,,
7,8477365,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477365.png,Connor,Clifton,D,73,1,15,16,-6,63,0.015873,962.9178,21.0411,0.0,,,,,,,,,,,,
7,8477949,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477949.png,Alex,Tuch,R,82,36,31,67,16,196,0.183673,1155.2561,25.122,0.409574,,,,,,,,,,,,
7,8478043,https://assets.nhle.com/mugs/nhl/20242025/BUF/8478043.png,Sam,Lafferty,C,60,4,3,7,-15,50,0.08,592.5667,14.7833,0.50641,,,,,,,,,,,,
7,8478413,https://assets.nhle.com/mugs/nhl/20242025/BUF/8478413.png,Jordan,Greenway,L,34,3,5,8,-4,36,0.083333,904.4412,22.0882,0.205882,,,,,,,,,,,,
7,8479359,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479359.png,Beck,Malenstyn,L,76,4,6,10,-16,67,0.059701,631.8553,15.6184,0.558824,,,,,,,,,,,,
7,8479419,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479419.png,Brett,Murray,L,3,0,0,0,-2,0,0.0,474.6667,11.6667,0.0,,,,,,,,,,,,
7,8479420,https://assets.nhle.com/mugs/nhl/20242025/BUF/8479420.png,Tage,Thompson,C,76,44,28,72,-2,242,0.181818,1125.3816,23.4737,0.427557,,,,,,,,,,,,
7,8480064,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480064.png,Josh,Norris,C,56,21,14,35,-6,96,0.21875,1100.7857,26.4643,0.538462,,,,,,,,,,,,
7,8480196,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480196.png,Jacob,Bryson,D,48,0,7,7,-9,20,0.0,863.5417,20.625,0.0,,,,,,,,,,,,
